datetime,air_moisture,air_temperature,soil_moisture,soil_temperature,unnamed,pole_no
2019.12.06 21:15:04,88,7.1,70,10.563,33.2,1
2019.12.06 21:10:04,88,7.3,70,10.75,33.2,1
2019.12.06 21:05:04,88,7.4,0,10.75,33.2,1
2019.12.06 21:00:05,88,7.5,90,10.75,33.2,1
2019.12.06 20:55:04,88,7.5,40,10.688,33.2,1
2019.12.06 20:50:05,88,7.2,30,10.875,33.2,1
2019.12.06 20:45:05,88,7.2,30,10.875,33.2,1
2019.12.06 20:35:05,88,7.4,0,0,33.2,1
2019.12.06 20:30:04,88,7.5,70,10.938,33.2,1
2019.12.06 20:25:04,88,7.5,40,10.938,33.2,1
2019.12.06 20:20:04,88,7.6,20,10.938,33.2,1
2019.12.06 20:15:04,88,7.3,30,10.938,33.2,1
2019.12.06 20:10:04,88,7.9,10,11.063,33.2,1
2019.12.06 20:05:04,88,7.7,30,11.125,33.2,1
2019.12.06 20:00:04,88,7.8,40,11.188,33.2,1
2019.12.06 19:55:04,88,8.2,20,11.25,33.2,1
2019.12.06 19:50:04,88,8.1,0,11.188,33.2,1
2019.12.06 19:45:04,88,7.3,50,11.313,33.2,1
2019.12.06 19:40:04,88,7.7,0,11.375,33.2,1
2019.12.06 19:35:04,88,7.3,20,11.313,33.2,1
2019.12.06 19:30:04,88,8,20,11.375,33.2,1
2019.12.06 19:25:04,88,8.9,10,11.375,33.2,1
2019.12.06 19:20:04,88,8.6,40,11.5,33.2,1
2019.12.06 19:15:05,88,8.2,50,11.5,33.2,1
2019.12.06 19:10:04,88,8,50,11.438,33.2,1
2019.12.06 19:05:05,88,8,0,11.625,33.2,1
2019.12.06 19:00:05,88,8.1,0,11.563,33.2,1
2019.12.06 18:55:05,88,8.2,20,11.625,33.2,1
2019.12.06 18:50:04,88,7.7,40,11.688,33.2,1
2019.12.06 18:45:04,88,7.7,50,11.75,33.2,1
2019.12.06 18:40:03,88,8.9,50,11.813,33.2,1
2019.12.06 18:35:05,88,9,20,11.813,33.2,1
2019.12.06 18:30:04,88,8.9,40,11.813,33.2,1
2019.12.06 18:25:04,88,8.8,10,11.875,33.2,1
2019.12.06 18:15:04,88,9.3,0,,33.2,1
2019.12.06 18:10:04,88,9.7,40,12,33.2,1
2019.12.06 18:05:04,88,9.4,50,12.063,33.2,1
2019.12.06 17:55:04,88,8.8,100,12,33.2,1
2019.12.06 17:50:03,88,8.5,90,12.125,33.2,1
2019.12.06 17:45:03,88,10.4,0,12.25,33.2,1
2019.12.06 17:40:03,89,11.3,100,12.188,33.2,1
2019.12.06 17:35:04,89,11.1,10,12.188,33.2,1
2019.12.06 17:30:03,88,10.7,20,12.313,33.2,1
2019.12.06 17:25:03,88,10.5,30,12.438,33.2,1
2019.12.06 17:20:03,88,10.7,40,12.313,33.2,1
2019.12.06 17:15:03,88,10.7,50,12.313,33.2,1
2019.12.06 16:42:13,57,20.4,10,15.25,33.2,1
2019.12.06 16:37:13,53,21.3,30,15.313,33.2,1
2019.12.06 16:32:13,52,22.1,50,15.313,33.2,1
2019.12.06 16:27:13,45,22.7,10,15.438,33.2,1
2019.12.06 16:22:12,41,23.7,40,15.563,33.2,1
2019.12.06 16:17:12,31,24.3,40,15.563,33.2,1
2019.12.06 16:12:12,30,26.2,0,15.563,33.2,1
2019.12.06 16:07:12,27,27.3,30,15.625,33.2,1
2019.12.06 15:57:12,22,28.1,0,,33.2,1
2019.12.06 15:52:12,23,28.2,60,15.813,33.2,1
2019.12.06 15:47:12,23,28.4,30,15.688,33.2,1
2019.12.06 15:42:12,26,28,50,15.813,33.2,1
2019.12.06 15:37:12,25,27.3,30,16,33.2,1
2019.12.06 15:32:12,22,28.5,50,16,33.2,1
2019.12.06 15:22:13,26,28.6,30,16,33.2,1
2019.12.06 15:17:12,29,27,10,16.188,33.2,1
2019.12.06 15:12:12,29,26.9,70,16.25,33.2,1
2019.12.06 15:07:11,30,26.8,0,16.125,33.2,1
2019.12.06 15:02:12,30,27,0,16.375,33.2,1
2019.12.06 14:52:11,25,27.1,10,16.25,33.2,1
2019.12.06 14:47:12,26,27.3,0,16.313,33.2,1
2019.12.06 14:42:11,22,27.7,0,16.313,33.2,1
2019.12.06 14:37:11,22,28.9,80,16.25,33.2,1
2019.12.06 14:32:11,23,28.4,60,16.25,33.2,1
2019.12.06 14:27:11,21,28.8,0,16.25,33.2,1
2019.12.06 14:22:11,23,29.2,70,16.188,33.2,1
2019.12.06 14:17:10,22,28.3,80,16.063,33.2,1
2019.12.06 14:12:11,22,28.4,0,,33.2,1
2019.12.06 14:07:10,22,28.7,0,0,33.2,1
2019.12.06 14:02:11,24,28.3,10,16.063,33.2,1
2019.12.06 13:57:11,21,28.8,0,15.875,33.2,1
2019.12.06 13:52:11,19,30.4,50,16,33.2,1
2019.12.06 13:47:10,19,30.6,0,15.813,33.2,1
2019.12.06 13:42:10,17,32.4,10,15.75,33.2,1
2019.12.06 13:37:11,21,31.1,90,15.688,33.2,1
2019.12.06 13:32:10,16,32.2,10,15.625,33.2,1
2019.12.06 13:27:10,16,33.5,20,15.5,33.2,1
2019.12.06 13:17:10,15,33.8,50,15.188,33.2,1
2019.12.06 13:12:10,14,32.8,80,15.25,33.2,1
2019.12.06 13:07:09,15,33.8,30,15,33.2,1
2019.12.06 13:02:09,16,32.4,10,15.063,33.2,1
2019.12.06 12:57:10,14,34.6,0,14.875,33.2,1
2019.12.06 12:52:09,19,31.4,50,14.625,33.2,1
2019.12.06 12:47:09,17,31.4,30,14.625,33.2,1
2019.12.06 12:42:09,23,32,20,14.375,33.2,1
2019.12.06 12:37:08,20,30.5,30,14.438,33.2,1
2019.12.06 12:32:09,23,29.9,30,14.313,33.2,1
2019.12.06 12:27:09,18,33.8,10,14.125,33.2,1
2019.12.06 12:22:09,20,33.8,0,14.063,33.2,1
2019.12.06 12:17:09,15,34,50,13.875,33.2,1
2019.12.06 12:12:09,17,34,100,13.563,33.2,1
2019.12.06 12:07:08,11,37.3,80,13.625,33.2,1
2019.12.06 12:02:09,14,37.7,10,13.438,33.2,1
2019.12.06 11:57:08,12,37.5,50,13.313,33.2,1
2019.12.06 11:52:09,12,36.6,100,13.25,33.2,1
2019.12.06 11:47:08,11,36.5,100,13.125,33.2,1
2019.12.06 11:42:07,12,35.8,0,12.938,33.2,1
2019.12.06 11:37:07,12,36.5,30,12.75,33.2,1
2019.12.06 11:32:08,11,37.7,70,12.625,33.2,1
